pdb	ca	DGvina	DGfx	DGexp	DGexp2  DGvinaH	DGfxP	DGvinaR	SAS1.4   SAS0.7   SAS0.5   SAS0.3    SAS0.6   SAS0.4
3cln	4	1.5	7.6	10	10      1.5	9.2	1.5	0.0000   2.1494   2.8477   4.3242    2.4824   3.3689  	
1nls	1	1.5	6.6	9.6	9.6     1.5	7.2	1.5	0.0000   6.7452   7.0812   8.2143    6.8874   7.4417  	
2prk	1	1.1	4.0	9.5	9.5     1.1	4.5	1.1	5.1338   10.9161   11.370   12.1731  11.1315   11.6742
2prk	2	0.9	0.7	NA	NA      0.9	NA	0.9	 19.2896  17.092   15.574   14.3749   16.313   14.8993
1k96	1	1.7	10.3	10.1	10.1    1.7	11.6	1.7	0.2413   2.7710   3.3520   5.8065    3.0274   3.9825  	
1k96	2	1.6	7.4	6.6	6.6     1.6	9.3	1.6	0.2840   2.0543   3.1409   4.8761    2.5573   3.8680  	
1ala	1	1.1	4.7	6.0	6.0     1.1	6.5	1.1	3.8394   5.8921   6.4972   8.1186    6.1186   7.1596  
1ala	2	1.2	3.9	4.6	4.6     1.2	6.4	1.2	2.9326   5.8405   6.9014   9.0259    6.3748   7.7435  
1ala	3	1.2	0.5	4.4	4.4     1.2	5.4	1.2	5.4935   7.3398   7.8593   9.4720    7.6210   8.3844  
1aui	1	1.4	-2.5	11.3	11.3    1.4	10.4	1.4	0.0000   1.0397   1.7158   3.3994    1.3539   2.2434  	
1aui	2	1.6	6.6	11.3	11.3    1.6	10.3	1.6	0.2774   2.1473   2.9697   5.1087    2.3814   3.7433  	
1aui	3	1.2	5.5	7.1	7.1     1.1	5.9	1.2	0.2478   2.3975   2.9781   5.4117    2.6605   3.9932  	
1aui	4	1.0	-76	7.1	7.1     1.0	5.5	1.0	0.0000   1.3474   2.1784   3.6484    1.5123   2.7856  	
1alv	1	1.3	3.0	8.3	8.3     1.3	6.1	1.3	0.2725   4.2478   4.8054   5.9433    4.5278   5.2234  
1alv	2	1.5	7.5	8.3	8.3     1.5	8.1	1.5	0.0000   1.2355   1.8423   3.3916    1.5148   2.3679  	
1alv	3	1.6	7.6	8.3	8.3     1.6	9.2	1.6	0.4609   2.6683   3.3353   4.8600    2.9911   3.8138  	
1alv	4	1.6	4.2	8.3	8.3     1.6	6.0	1.6	12.1594  5.1029   5.5495   6.3409    5.3090   5.8672  
1avs	1	1.4	5.9	8.3	8.3     1.4	12.1	1.4	2.9426   5.9944   6.4260   8.0483    6.1921   7.0749  
1avs	2	1.7	10.4	11.7	11.7    1.7	11.0	1.7	0.2050   2.4635   3.1316   5.0933    2.7307   3.7704  
1avs	3	1.4	6.9	8.3	8.3     1.4	7.9	1.4	3.0689   5.8689   6.1488   7.3753    6.0022   6.5328  
1avs	4	1.6	12.7	11.7	11.7    1.6	13.3	1.6	0.0933   2.3114   2.9221   4.5778    2.5630   3.4669  
3est	1	1.6	6.8	6.4	6.4     1.6	5.1	1.6	1.2543   3.2914   4.7742    8.8997   3.8135    6.5590 
		
		
			
			
	
